timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-10-18,632.1,638.41,620.5901,637.97,637.97,4669071,0.0000,1.0
2021-10-15,638.0,639.42,625.16,628.29,628.29,4116874,0.0000,1.0
2021-10-14,632.23,636.88,626.79,633.8,633.8,2672535,0.0000,1.0
2021-10-13,632.1791,632.1791,622.1,629.76,629.76,2424638,0.0000,1.0
2021-10-12,633.02,637.655,621.99,624.94,624.94,3227349,0.0000,1.0
2021-10-11,633.195,639.42,626.78,627.04,627.04,2862470,0.0000,1.0
2021-10-08,634.165,643.8,630.86,632.66,632.66,3272093,0.0000,1.0
2021-10-07,642.2252,646.84,630.45,631.85,631.85,3556886,0.0000,1.0
2021-10-06,628.18,639.8699,626.36,639.1,639.1,4580434,0.0000,1.0
2021-10-05,606.94,640.39,606.89,634.81,634.81,9534293,0.0000,1.0
2021-10-04,613.39,626.125,594.68,603.35,603.35,4995932,0.0000,1.0
2021-10-01,604.24,614.99,597.505,613.15,613.15,4090847,0.0000,1.0
2021-09-30,608.05,619.0,608.05,610.34,610.34,6616040,0.0000,1.0
2021-09-29,589.01,609.8799,588.01,599.06,599.06,6221026,0.0000,1.0
2021-09-28,589.0,599.5353,580.16,583.85,583.85,4431051,0.0000,1.0
2021-09-27,587.95,593.58,576.93,592.64,592.64,2504738,0.0000,1.0
2021-09-24,592.5,592.98,583.64,592.39,592.39,2126246,0.0000,1.0
2021-09-23,590.79,599.32,589.1301,593.26,593.26,2526161,0.0000,1.0
2021-09-22,579.69,595.65,579.69,590.65,590.65,4021845,0.0000,1.0
2021-09-21,578.31,581.88,569.37,573.14,573.14,2250884,0.0000,1.0
2021-09-20,586.79,591.53,568.08,575.43,575.43,3732227,0.0000,1.0
2021-09-17,587.85,590.28,580.8501,589.35,589.35,4145145,0.0000,1.0
2021-09-16,584.3,587.48,577.72,586.5,586.5,1832028,0.0000,1.0
2021-09-15,578.17,584.62,575.37,582.87,582.87,2755615,0.0000,1.0
2021-09-14,584.89,587.28,575.56,577.76,577.76,3456958,0.0000,1.0
2021-09-13,598.57,598.57,582.775,589.29,589.29,3062871,0.0000,1.0
2021-09-10,598.16,609.45,593.67,598.72,598.72,3950764,0.0000,1.0
2021-09-09,606.47,609.44,596.55,597.54,597.54,2954214,0.0000,1.0
2021-09-08,603.84,615.6,595.71,606.05,606.05,5424503,0.0000,1.0
2021-09-07,594.69,613.85,593.99,606.71,606.71,5830979,0.0000,1.0
2021-09-03,585.8,591.8783,583.14,590.53,590.53,2684005,0.0000,1.0
2021-09-02,583.68,598.7567,583.68,588.55,588.55,6184782,0.0000,1.0
2021-09-01,569.0,591.0,569.0,582.07,582.07,5626214,0.0000,1.0
2021-08-31,566.12,569.48,561.611,569.19,569.19,2431886,0.0000,1.0
2021-08-30,557.25,567.1648,556.45,566.18,566.18,2434839,0.0000,1.0
2021-08-27,551.6,564.17,549.25,558.92,558.92,3252595,0.0000,1.0
2021-08-26,546.16,552.604,545.9,550.12,550.12,1595499,0.0000,1.0
2021-08-25,550.16,552.84,545.45,547.58,547.58,2065621,0.0000,1.0
2021-08-24,551.484,555.3141,549.27,553.41,553.41,2109525,0.0000,1.0
2021-08-23,545.98,555.55,543.74,553.33,553.33,2602010,0.0000,1.0
