year,games,at_bats,runs,hits,walks
1995,15,48,5,12,3
1996,157,582,104,183,48
1997,159,654,116,190,74
1998,149,626,127,203,57
1999,158,627,134,219,91
2000,148,593,119,201,68
2001,150,614,110,191,56
2002,157,644,124,191,73
2003,119,482,87,156,43
2004,154,643,111,188,46
2005,159,654,122,202,77
2006,154,623,118,214,69
2007,156,639,102,206,56
2008,150,596,88,179,52
2009,153,634,107,212,72
2010,157,663,111,179,63
2011,131,546,84,162,46
2012,159,683,99,216,45
2013,17,63,8,12,8
2014,145,581,47,149,35
