date,product,unit price,units sold,sales price
2018-09-01,Super Soft Hoodie,75.00,3,225.00
2018-09-01,Vintage Logo Tee,15.95,5,79.75
2018-09-01,Winter Hat,12.95,1,12.95
2018-09-01,Sticker Pack,4.50,2,9.00
2018-09-02,Super Soft Sweater,149.99,2,299.98
2018-09-02,Button-Down Shirt,65.05,8,520.40
2018-09-02,Baseball Cap,22.33,1,22.33
2018-09-02,Winter Hat,12.95,1,12.95
2018-09-02,Sticker Pack,4.50,5,22.50
2018-09-03,Khaki Pants,89.00,1,89.00
2018-09-03,Button-Down Shirt,65.05,4,260.20
2018-09-03,Vintage Logo Tee,15.95,2,31.90
2018-09-04,Super Soft Hoodie,75.00,1,75.00
2018-09-04,Vintage Logo Tee,15.95,2,31.90
2018-09-04,Sticker Pack,4.50,3,13.50
2018-09-05,Super Soft Sweater,149.99,1,149.99
2018-09-05,Button-Down Shirt,65.05,2,130.10
2018-09-05,Vintage Logo Tee,15.95,3,47.85
2018-09-05,Sticker Pack,4.50,1,4.50
2018-09-06,Super Soft Hoodie,75.00,1,75.00
2018-09-06,Vintage Logo Tee,15.95,1,15.95
2018-09-06,Sticker Pack,4.50,2,9.00
2018-09-07,Khaki Pants,89.00,1,89.00
2018-09-07,Super Soft Hoodie,75.00,2,150.00
2018-09-07,Button-Down Shirt,65.05,3,195.15
2018-09-07,Winter Hat,12.95,1,12.95
2018-09-07,Sticker Pack,4.50,1,4.50
2018-09-08,Super Soft Sweater,149.99,1,149.99
2018-09-08,Khaki Pants,89.00,1,89.00
2018-09-08,Super Soft Hoodie,75.00,1,75.00
2018-09-08,Baseball Cap,22.33,1,22.33
2018-09-08,Vintage Logo Tee,15.95,3,47.85
2018-09-08,Winter Hat,12.95,1,12.95
2018-09-08,Sticker Pack,4.50,4,18.00
2018-09-09,Khaki Pants,89.00,2,178.00
2018-09-09,Super Soft Hoodie,75.00,1,75.00
2018-09-09,Button-Down Shirt,65.05,6,390.30
2018-09-09,Vintage Logo Tee,15.95,4,63.80
2018-09-09,Sticker Pack,4.50,5,22.50
2018-09-10,Super Soft Hoodie,75.00,1,75.00
2018-09-10,Button-Down Shirt,65.05,1,65.05
2018-09-10,Vintage Logo Tee,15.95,1,15.95
2018-09-10,Sticker Pack,4.50,1,4.50
2018-09-11,Button-Down Shirt,65.05,2,130.10
2018-09-11,Vintage Logo Tee,15.95,3,47.85
2018-09-12,Khaki Pants,89.00,1,89.00
2018-09-12,Super Soft Hoodie,75.00,1,75.00
2018-09-12,Button-Down Shirt,65.05,1,65.05
2018-09-12,Vintage Logo Tee,15.95,3,47.85
2018-09-12,Winter Hat,12.95,1,12.95
2018-09-12,Sticker Pack,4.50,2,9.00
2018-09-13,Super Soft Hoodie,75.00,1,75.00
2018-09-13,Button-Down Shirt,65.05,2,130.10
2018-09-14,Khaki Pants,89.00,1,89.00
