,passenger_id,survived,pclass,name,gender,age,sibsp,parch,ticket,fare,cabin,embarked
0,1,False,3,"Braund, Mr. Owen Harris",MALE,22.0,1,0,A/5 21171,7.25,,Southampton
1,2,True,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",FEMALE,38.0,1,0,PC 17599,71.2833,C85,Cherbourg
2,3,True,3,"Heikkinen, Miss. Laina",FEMALE,26.0,0,0,STON/O2. 3101282,7.925,,Southampton
3,4,True,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",FEMALE,35.0,1,0,113803,53.1,C123,Southampton
4,5,False,3,"Allen, Mr. William Henry",MALE,35.0,0,0,373450,8.05,,Southampton
5,6,False,3,"Moran, Mr. James",MALE,,0,0,330877,8.4583,,Queenstown
6,7,False,1,"McCarthy, Mr. Timothy J",MALE,54.0,0,0,17463,51.8625,E46,Southampton
7,8,False,3,"Palsson, Master. Gosta Leonard",MALE,2.0,3,1,349909,21.075,,Southampton
8,9,True,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",FEMALE,27.0,0,2,347742,11.1333,,Southampton
9,10,True,2,"Nasser, Mrs. Nicholas (Adele Achem)",FEMALE,14.0,1,0,237736,30.0708,,Cherbourg
10,11,True,3,"Sandstrom, Miss. Marguerite Rut",FEMALE,4.0,1,1,PP 9549,16.7,G6,Southampton
11,12,True,1,"Bonnell, Miss. Elizabeth",FEMALE,58.0,0,0,113783,26.55,C103,Southampton
12,13,False,3,"Saundercock, Mr. William Henry",MALE,20.0,0,0,A/5. 2151,8.05,,Southampton
13,14,False,3,"Andersson, Mr. Anders Johan",MALE,39.0,1,5,347082,31.275,,Southampton
14,15,False,3,"Vestrom, Miss. Hulda Amanda Adolfina",FEMALE,14.0,0,0,350406,7.8542,,Southampton
15,16,True,2,"Hewlett, Mrs. (Mary D Kingcome) ",FEMALE,55.0,0,0,248706,16.0,,Southampton
16,17,False,3,"Rice, Master. Eugene",MALE,2.0,4,1,382652,29.125,,Queenstown
17,18,True,2,"Williams, Mr. Charles Eugene",MALE,,0,0,244373,13.0,,Southampton
18,19,False,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",FEMALE,31.0,1,0,345763,18.0,,Southampton
19,20,True,3,"Masselmani, Mrs. Fatima",FEMALE,,0,0,2649,7.225,,Cherbourg
20,21,False,2,"Fynney, Mr. Joseph J",MALE,35.0,0,0,239865,26.0,,Southampton
21,22,True,2,"Beesley, Mr. Lawrence",MALE,34.0,0,0,248698,13.0,D56,Southampton
22,23,True,3,"McGowan, Miss. Anna ""Annie""",FEMALE,15.0,0,0,330923,8.0292,,Queenstown
23,24,True,1,"Sloper, Mr. William Thompson",MALE,28.0,0,0,113788,35.5,A6,Southampton
24,25,False,3,"Palsson, Miss. Torborg Danira",FEMALE,8.0,3,1,349909,21.075,,Southampton
25,26,True,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",FEMALE,38.0,1,5,347077,31.3875,,Southampton
