timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-10-19,113.74,114.54,112.76,113.49,113.49,5778039,0.0000,1.0
2021-10-18,111.44,113.57,110.96,113.37,113.37,4958432,0.0000,1.0
2021-10-15,112.45,112.92,110.95,111.45,111.45,5860872,0.0000,1.0
2021-10-14,111.08,112.61,111.01,111.87,111.87,5196329,0.0000,1.0
2021-10-13,111.39,111.48,109.41,110.76,110.76,4808625,0.0000,1.0
2021-10-12,111.72,111.873,110.655,111.0,111.0,3866802,0.0000,1.0
2021-10-11,112.89,113.56,110.92,110.94,110.94,5987335,0.0000,1.0
2021-10-08,112.58,112.655,111.13,111.22,111.22,3786964,0.0000,1.0
2021-10-07,112.38,112.98,112.05,112.21,112.21,5549460,0.0000,1.0
2021-10-06,110.18,112.02,109.48,111.64,111.64,5734477,0.0000,1.0
2021-10-05,111.125,111.48,110.03,110.85,110.85,5883995,0.0000,1.0
2021-10-04,112.43,113.08,111.0165,111.46,111.46,4497726,0.0000,1.0
2021-10-01,110.89,113.46,110.54,112.92,112.92,5636865,0.0000,1.0
2021-09-30,111.52,112.16,110.31,110.31,110.31,5976056,0.0000,1.0
2021-09-29,111.9,112.52,111.57,112.17,112.17,4389131,0.0000,1.0
2021-09-28,112.675,113.0,111.08,111.71,111.71,5917926,0.0000,1.0
2021-09-27,113.612,114.67,112.91,113.68,113.68,3988883,0.0000,1.0
2021-09-24,114.13,114.86,113.76,114.11,114.11,3955231,0.0000,1.0
2021-09-23,113.39,114.71,113.1,114.14,114.14,3841978,0.0000,1.0
2021-09-22,113.06,114.03,112.32,113.07,113.07,4578157,0.0000,1.0
2021-09-21,111.92,113.6,111.75,112.22,112.22,5468438,0.0000,1.0
2021-09-20,111.3542,112.27,110.38,111.82,111.82,7795222,0.0000,1.0
2021-09-17,114.54,114.85,113.12,113.41,113.41,9261033,0.0000,1.0
2021-09-16,114.79,115.2699,113.193,114.67,114.67,7996996,0.0000,1.0
2021-09-15,116.955,117.02,113.12,114.64,114.64,11556160,0.0000,1.0
2021-09-14,119.7239,119.86,118.36,118.86,118.86,4722752,0.0000,1.0
2021-09-13,119.89,120.15,118.555,119.18,119.18,4381067,0.0000,1.0
2021-09-10,119.35,120.76,118.89,119.34,119.34,6517864,0.0000,1.0
2021-09-09,117.98,120.07,117.8,118.79,118.79,4711219,0.0000,1.0
2021-09-08,116.1,118.19,115.51,118.04,118.04,5548351,0.0000,1.0
2021-09-07,117.09,117.13,115.47,115.79,115.79,4265770,0.0000,1.0
2021-09-03,116.8376,117.58,116.34,117.19,117.19,2922141,0.0000,1.0
2021-09-02,118.29,118.36,116.9,117.37,117.37,3802306,0.0000,1.0
2021-09-01,118.01,118.33,117.275,117.45,117.45,4402679,0.0000,1.0
2021-08-31,115.77,117.6,115.65,117.49,117.49,6995511,0.0000,1.0
2021-08-30,115.61,115.82,114.63,115.61,115.61,3078210,0.0000,1.0
2021-08-27,114.605,115.39,114.18,115.12,115.12,4204688,0.0000,1.0
2021-08-26,115.62,115.77,113.86,114.32,114.32,5188196,0.0000,1.0
